"museum_id","name","address","city","state","postal","country","phone","url"
"30","The Museum of Modern Art","11 W 53rd St","New York","NY","10019","USA","+1 212 708-9400","https://www.moma.org/"
"31","Pushkin State Museum of Fine Arts","12 Ulitsa Volkhonka","Moscow","","119019","Russia","+7 495 697-95-78","https://pushkinmuseum.art/"
"32","National Gallery of Victoria","180 St Kilda Rd","Melbourne","Victoria","3004","Australia","+61 (0)3 8620 2222","https://www.ngv.vic.gov.au/"
"33","São Paulo Museum of Art","Av. Paulista, 1578 - Bela Vista","São Paulo","","01310-200","Brazil","+55 11 3149-5959","https://masp.org.br/"
"34","The State Hermitage Museum","Palace Square, 2","Sankt-Peterburg","","190000","Russia","7 812 710-90-79","https://www.hermitagemuseum.org/wps/portal/hermitage/"
"35","The Metropolitan Museum of Art","1000 5th Ave","New York","NY","10028","USA","+1 212 535-7710","https://www.metmuseum.org/"
"36","Museum Folkwang","Museumsplatz 1","45128","Essen","","Germany","49 201 8845000","https://www.museum-folkwang.de/en"
"37","Museum of Grenoble","5 Pl. de Lavalette","38000","Grenoble","","France","33 4 76 63 44 44","https://www.museedegrenoble.fr/1986-the-museum-in-english.htm"
"38","Musée des Beaux-Arts de Quimper","40 Pl. Saint-Corentin","29000","Quimper","","France","33 2 98 95 45 20","https://www.mbaq.fr/en/home-3.html"
"39","Nelson-Atkins Museum of Art","4525 Oak St","Kansas City","MO","64111","USA","+1 816 751-1278","https://www.nelson-atkins.org/"
